Time(ms),Temp(C),Humidity(%),RainAnalog,RainDigital,SNR1,SNR2,SNR3,SNR4,SNR5,SNR6,SNR7,Mean_SNR,SNR_Var,Sat_Count,WeatherLabel
175500,27.69340547,72.27172829,426,1,40,45,39,42,38,40,46,41.5,8,8,1
8400,27.21356408,98.74523315,857,1,35,34,32,33,35,31,35,31,76,11,2
86100,33.62631068,45.64957488,81,0,49,50,51,52,51,51,50,50.57142857,0.952380952,7,0
150100,33.83345502,56.05280625,5,0,48,47,48,50,49,50,52,49.14285714,2.80952381,7,0
90300,34.66433249,48.33131657,31,0,50,51,49,51,49,50,49,49.85714286,0.80952381,7,0
29300,26.61224059,98.42729959,1015,1,35,32,32,32,34,33,34,30,86,11,2
10900,30.61583928,59.67042945,58,0,49,49,50,48,49,51,50,49.42857143,0.952380952,7,0
88800,25.93962089,82.17301684,882,1,32,34,34,34,33,34,34,31,66,11,2
157400,24.24235535,81.11079387,902,1,34,32,30,36,32,33,34,30,75,11,2
34000,26.96545327,89.65889206,802,1,34,33,31,32,33,36,33,30,85,11,2
177700,22.87046283,92.66953401,979,1,35,33,33,35,32,32,34,30,70,11,2
192600,34.70561814,52.07057613,78,0,50,51,51,52,50,48,47,49.85714286,3.142857143,7,0
13300,26.96077254,77.65365635,473,1,43,42,40,43,42,42,39,41.625,1.982142857,8,1
152500,25.94669931,63.50301989,578,1,41,41,40,39,38,40,39,39.875,1.267857143,8,1
113600,27.20007329,86.58894355,782,1,32,33,34,34,35,36,36,32,66,11,2
141400,22.14014171,81.293436,784,1,34,33,32,29,35,32,32,30,67,11,2
167100,28.44506378,68.56161025,312,1,43,40,45,41,39,40,44,41.75,4.5,8,1
36700,25.12587673,98.60770881,959,1,35,31,35,37,34,33,30,31,50,11,2
104500,28.87534546,79.79867531,560,1,42,41,42,43,41,41,44,41.875,1.267857143,8,1
23400,22.30926669,80.72001224,701,1,32,31,31,34,32,32,35,29,65,11,2
21700,25.59658486,97.53731846,977,1,35,35,33,33,33,33,36,31,87,11,2
49800,22.16094746,80.6980871,835,1,33,35,35,34,34,34,30,30,50,11,2
188600,28.07018932,71.4490581,566,1,44,40,43,43,42,41,42,42.5,2.571428571,8,1
109400,31.84535849,43.77081211,5,0,49,51,48,51,53,49,51,50.28571429,2.904761905,7,0
112100,37.64521199,44.95119541,92,0,49,50,50,51,51,49,50,50,0.666666667,7,0
51600,29.58019849,66.88559984,314,1,39,41,40,44,40,38,41,40.375,3.125,8,1
21000,30.35409294,79.06967776,451,1,40,43,43,41,39,38,43,40.75,4.214285714,8,1
80900,30.90590437,54.36662351,86,0,53,50,50,51,48,49,49,50,2.666666667,7,0
21900,27.59244836,90.88614016,820,1,34,34,35,32,32,34,34,30,82,11,2
127400,29.99284844,73.76625665,523,1,43,39,38,39,45,42,41,41,5.428571429,8,1
18800,25.83775365,83.29320564,775,1,33,34,33,37,32,34,33,31,85,11,2
20300,27.38932876,87.79513477,949,1,32,32,34,33,33,32,37,30,54,11,2
17200,22.40223251,80.41427784,844,1,35,34,34,35,33,32,34,32,62,11,2
70800,27.74882968,84.54782791,956,1,30,34,35,30,35,34,32,30,63,11,2
30500,25.66044376,95.98442199,773,1,32,32,32,32,35,34,32,30,75,11,2
194400,29.39737627,64.02424785,417,1,44,40,39,40,42,40,42,40.875,2.696428571,8,1
65100,23.40437933,90.39744121,1004,1,33,34,33,33,33,33,30,30,84,11,2
54300,25.56043202,72.90486685,310,1,42,41,44,41,39,43,44,42,2.857142857,8,1
177300,37.64267749,54.66000214,72,0,49,48,51,50,50,50,52,50,1.666666667,7,0
84600,26.1176343,75.64492861,456,1,43,40,37,37,42,44,40,40.125,7.267857143,8,1
174800,23.14996631,85.75830254,811,1,34,31,35,35,34,32,34,31,76,11,2
176500,32.59740742,45.9988414,74,0,52,51,49,51,50,51,48,50.28571429,1.904761905,7,0
189700,27.01860547,71.12668573,351,1,41,39,43,42,38,43,38,40.375,4.553571429,8,1
121200,22.27873325,99.88166693,907,1,31,33,32,32,32,33,34,29,60,11,2
175600,37.67661315,43.69264915,63,0,49,50,50,51,50,50,49,49.85714286,0.476190476,7,0
34600,27.36896812,73.68340696,314,1,39,42,43,39,39,40,44,40.5,4.857142857,8,1
99600,26.44641721,63.76902984,471,1,41,39,41,39,43,41,43,40.75,2.785714286,8,1
159500,34.62709534,52.89490497,48,0,49,51,49,48,48,51,50,49.42857143,1.619047619,7,0
131800,25.76030147,94.99724109,748,1,35,32,33,33,32,33,33,30,89,11,2
125200,27.92434509,68.30766801,507,1,40,44,42,44,42,37,40,41.125,5.553571429,8,1
82900,33.61774353,40.58339527,50,0,50,48,49,49,50,48,49,49,0.666666667,7,0
72900,26.34280249,93.90403156,933,1,34,34,33,35,34,34,36,31,75,11,2
185800,36.73598842,48.06415512,2,0,50,51,50,49,48,50,54,50.28571429,3.571428571,7,0
43800,35.64993782,50.82815215,99,0,49,50,50,51,51,49,48,49.71428571,1.238095238,7,0
62700,35.97976751,53.74038533,50,0,48,51,50,50,49,48,48,49.14285714,1.476190476,7,0
156500,25.20117512,85.93676579,743,1,33,34,31,33,35,37,33,31,80,11,2
87900,30.51185548,79.08794717,383,1,42,43,42,42,39,40,42,41,3.142857143,8,1
92500,30.17975447,58.03880393,26,0,50,49,50,51,52,50,52,50.57142857,1.285714286,7,0
43000,23.04788917,82.10318178,822,1,33,35,33,35,34,32,35,30,82,11,2
91900,27.70329442,88.03947974,958,1,33,34,32,30,33,34,33,30,81,11,2
133800,25.20767698,87.19855936,702,1,35,32,35,29,35,31,33,31,65,11,2
86500,25.75526165,68.46169323,429,1,41,42,40,42,41,41,44,41.125,2.982142857,8,1
121100,23.75632091,92.95848499,893,1,33,34,32,33,34,35,33,30,87,11,2
117300,32.07842865,43.20925229,3,0,50,50,50,51,47,49,48,49.28571429,1.904761905,7,0
136000,28.45719426,78.88530339,398,1,41,41,42,41,41,41,42,40.875,1.553571429,8,1
119700,29.61725177,78.47505609,378,1,40,41,41,43,43,40,45,41.375,4.839285714,8,1
94400,31.65137017,55.18010565,79,0,49,49,51,48,50,49,50,49.42857143,0.952380952,7,0
108500,26.10182912,89.09603495,843,1,33,34,34,34,32,32,36,31,66,11,2
28800,26.09485338,74.53473338,339,1,41,41,40,41,39,41,44,40.625,3.125,8,1
1200,36.65954113,58.12874907,70,0,51,47,52,50,51,52,52,50.71428571,3.238095238,7,0
111700,37.0196869,40.27491108,48,0,48,49,50,47,52,53,49,49.71428571,4.571428571,7,0
160700,22.27025177,93.80744212,793,1,33,29,33,32,33,32,32,29,61,11,2
165500,30.26406122,62.38834545,443,1,43,44,44,40,41,43,38,42,4.571428571,8,1
101800,22.72019124,97.91094169,727,1,33,31,33,32,33,30,32,31,53,11,2
64200,31.69158406,55.63647727,86,0,50,49,49,49,50,49,50,49.42857143,0.285714286,7,0
58900,29.4623268,73.44201729,470,1,40,43,39,41,40,40,39,40.375,1.696428571,8,1
42600,24.95625057,90.54853724,957,1,33,31,29,35,30,30,38,30,46,11,2
67800,31.51871288,67.71422609,576,1,43,39,42,42,45,40,43,42,3.428571429,8,1
106500,26.03027666,86.99388956,837,1,31,31,32,30,33,34,36,30,66,11,2
5900,27.49936024,97.23772234,733,1,32,33,34,33,35,33,33,31,66,11,2
40800,25.81073247,88.84926912,759,1,34,34,35,32,34,33,34,31,70,11,2
92200,25.20583554,62.0093098,345,1,42,40,43,40,40,44,39,40.75,4.214285714,8,1
53500,31.25033251,70.47353944,530,1,41,46,44,41,39,42,43,41.75,6.785714286,8,1
63900,22.16307367,96.24442141,732,1,35,33,35,35,33,32,36,31,65,11,2
26400,27.80662604,71.27328961,405,1,40,41,41,42,43,40,40,40.875,1.267857143,8,1
65300,35.96351579,41.0471004,85,0,52,50,49,49,50,51,50,50.14285714,1.142857143,7,0
42900,30.93653613,57.76807345,80,0,48,50,50,52,50,48,48,49.42857143,2.285714286,7,0
175000,25.62825479,65.27860712,373,1,40,44,41,40,40,44,39,41.125,3.553571429,8,1
131500,29.7386019,72.95342769,481,1,40,40,39,40,39,41,43,40.75,3.357142857,8,1
51700,27.45302698,67.7571628,587,1,39,42,40,43,38,37,42,40.25,4.5,8,1
70500,27.76200642,86.79216527,819,1,30,33,31,33,32,28,31,31,44,11,2
116200,30.10511327,64.49774019,452,1,42,41,42,44,42,41,45,42.5,2,8,1
160500,27.80553661,75.60866913,589,1,40,43,45,39,42,42,43,42.25,3.928571429,8,1
83800,34.6447068,55.22015847,4,0,50,50,51,51,48,47,50,49.57142857,2.285714286,7,0
108700,31.33627157,40.30789783,6,0,49,49,50,51,50,52,52,50.42857143,1.619047619,7,0
172800,36.51176216,43.25581978,17,0,49,50,50,48,49,52,52,50,2.333333333,7,0
95200,24.32114549,80.44660913,883,1,32,32,34,34,32,32,32,30,85,11,2
131900,30.48281667,55.45619147,58,0,51,49,49,51,49,50,50,49.85714286,0.80952381,7,0
133000,34.44290841,52.4094757,26,0,50,49,51,48,50,52,50,50,1.666666667,7,0
96100,24.96334392,96.11395172,948,1,32,33,32,33,30,36,35,30,77,11,2
85600,30.29239734,44.41705566,15,0,49,50,49,49,50,49,51,49.57142857,0.619047619,7,0
141900,37.47100014,40.28762892,32,0,51,50,49,48,50,50,52,50,1.666666667,7,0
51500,27.49738237,71.48466907,310,1,41,41,41,43,40,40,40,40.625,1.410714286,8,1
29900,31.63799313,62.42780494,539,1,44,41,43,38,42,38,39,40.625,5.125,8,1
153600,31.25946214,70.18882293,415,1,41,40,41,39,42,42,41,40.75,1.071428571,8,1
160800,31.86969666,58.54247564,45,0,49,50,49,50,51,49,51,49.85714286,0.80952381,7,0
92200,26.12258195,82.47000641,788,1,33,33,34,32,32,34,34,30,92,11,2
69300,31.93927786,49.28190319,52,0,50,50,51,49,51,50,51,50.28571429,0.571428571,7,0
119200,26.00098777,94.86717432,939,1,35,32,31,34,32,33,34,30,74,11,2
66600,30.7214829,65.90902432,481,1,41,41,40,41,40,40,41,40.75,0.5,8,1
18800,34.23720463,55.76894687,69,0,53,52,51,50,48,49,49,50.28571429,3.238095238,7,0
28700,34.34115708,46.62694014,58,0,52,50,50,50,50,49,51,50.28571429,0.904761905,7,0
141000,29.98860241,66.75655258,570,1,44,41,40,40,39,42,39,40.625,2.839285714,8,1
68700,23.34781907,91.80413861,912,1,32,33,33,32,31,32,34,29,70,11,2
40900,26.18818274,89.85244188,956,1,32,33,36,32,35,30,35,31,71,11,2
196600,26.92457107,70.36903067,427,1,41,42,42,39,42,40,45,41.875,3.839285714,8,1
177100,30.70701514,64.13551686,460,1,41,39,42,39,42,42,40,40.5,2,8,1
121500,28.56342482,73.28976619,312,1,43,40,42,38,39,42,44,40.875,4.696428571,8,1
33300,29.57637171,66.9777032,503,1,41,43,43,42,41,38,41,41.625,3.410714286,8,1
88300,27.24686951,92.48296003,759,1,31,34,32,33,34,36,33,30,83,11,2
153300,23.86069215,98.82404457,739,1,32,34,30,34,32,33,34,30,73,11,2
14400,25.58604864,78.52480523,537,1,40,44,42,40,43,42,42,41.75,1.928571429,8,1
98000,30.47048676,62.03225109,467,1,40,40,42,41,43,42,40,41.375,1.696428571,8,1
21000,34.38987031,55.07923807,11,0,50,51,52,49,50,49,49,50,1.333333333,7,0
172400,24.424078,89.76361635,922,1,36,34,33,32,33,31,33,30,54,11,2
33400,22.94050212,86.31486988,869,1,34,37,34,34,36,33,36,32,95,11,2
110600,28.12371866,60.58955207,459,1,39,37,41,42,42,41,40,40.75,4.5,8,1
7300,36.52369143,57.55660156,60,0,48,50,49,50,48,50,51,49.42857143,1.285714286,7,0
28000,25.14501988,96.77278666,862,1,34,33,31,35,35,32,33,30,89,11,2
82800,25.74314714,62.44190111,442,1,40,40,40,40,38,42,42,40.375,1.696428571,8,1
120300,23.05106147,85.78895118,741,1,32,32,33,32,33,32,34,30,69,11,2
133600,23.4492034,91.47261131,819,1,34,33,34,33,35,36,35,31,96,11,2
59400,25.85165465,92.56561963,849,1,34,33,32,36,32,34,30,31,67,11,2
82100,30.53820423,75.76552884,350,1,41,43,40,42,40,41,40,40.75,1.642857143,8,1
130500,29.50762367,67.69715596,510,1,41,39,43,39,43,42,42,41.125,2.696428571,8,1
128600,26.51893794,99.73796695,975,1,35,31,31,34,35,33,35,30,59,11,2
14500,26.91525432,75.27013418,407,1,40,42,40,42,41,42,42,41.25,0.785714286,8,1
123100,31.83963685,52.15505366,42,0,50,51,50,49,51,48,49,49.71428571,1.238095238,7,0
124700,24.47868317,95.51176251,983,1,36,30,32,34,33,33,33,31,71,11,2
134000,25.40226641,64.29188546,390,1,43,42,41,42,39,42,40,41.25,1.642857143,8,1
157700,24.31742723,98.0216558,797,1,34,35,34,35,31,35,36,31,79,11,2
165200,27.22950647,90.82665924,991,1,35,31,34,37,33,31,29,31,49,11,2
11300,36.46496304,57.8797942,9,0,51,51,50,50,51,50,51,50.57142857,0.285714286,7,0
125700,23.28120974,80.49250987,933,1,34,31,33,34,35,34,35,31,70,11,2
154300,24.74700097,80.35315124,768,1,34,33,32,29,32,33,35,29,74,11,2
124400,25.34601516,80.13768463,797,1,35,33,33,33,35,31,32,30,66,11,2
119500,31.33452126,78.6683882,513,1,38,39,43,44,42,40,44,41.25,5.357142857,8,1
45600,26.05089567,63.44235069,428,1,41,41,41,42,41,43,39,41.25,1.357142857,8,1
94800,31.37333454,71.55460006,505,1,42,42,42,40,41,40,36,40.625,4.267857143,8,1
183900,31.79692489,53.67732904,63,0,50,49,49,49,48,52,49,49.42857143,1.619047619,7,0
196200,36.71841829,40.57304855,41,0,51,50,51,49,50,50,48,49.85714286,1.142857143,7,0
189200,36.40056775,53.54876142,49,0,50,51,52,48,48,51,50,50,2.333333333,7,0
182500,34.24241707,41.69376684,36,0,50,51,49,49,49,51,49,49.71428571,0.904761905,7,0
71300,24.55425554,84.32223789,1018,1,32,32,36,32,34,32,35,30,56,11,2
182500,26.42271803,84.89369288,713,1,32,32,36,29,33,34,32,30,76,11,2
145800,27.1849612,79.520474,560,1,43,43,39,41,39,41,45,41.5,4.285714286,8,1
153500,29.01510453,76.57303589,331,1,39,38,42,38,43,41,39,39.875,3.553571429,8,1
25200,36.80909337,53.38400526,34,0,51,48,51,51,51,52,47,50.14285714,3.476190476,7,0
35000,34.02509007,52.72192093,78,0,49,50,51,52,50,50,48,50,1.666666667,7,0
75800,26.43641363,66.68122981,500,1,39,41,42,40,42,41,37,40.125,2.982142857,8,1
70400,25.91813747,93.46761173,938,1,32,33,34,36,33,36,35,32,82,11,2
45700,33.74928514,52.52468643,14,0,50,50,51,50,51,50,51,50.42857143,0.285714286,7,0
88200,26.07613613,85.25427998,740,1,34,33,35,35,34,32,34,32,61,11,2
47900,34.18478275,55.88421325,58,0,49,52,49,52,51,51,51,50.71428571,1.571428571,7,0
111400,34.74351948,43.98540673,29,0,52,51,50,51,51,51,48,50.57142857,1.619047619,7,0
79800,35.57320659,59.62355674,12,0,51,49,51,49,51,51,50,50.28571429,0.904761905,7,0
79800,23.07180896,84.78808506,894,1,32,33,30,31,32,36,35,30,61,11,2
67300,28.11809123,73.65171109,365,1,40,42,41,41,43,42,43,41.375,1.982142857,8,1
109500,31.28036362,79.38716116,362,1,40,39,39,41,40,43,40,40,2.285714286,8,1
2600,31.59739026,54.6164193,40,0,50,52,50,50,50,49,52,50.42857143,1.285714286,7,0
107500,29.94858696,78.48592194,423,1,38,41,39,40,38,40,42,40.25,4.214285714,8,1
75000,29.20251039,69.20157503,430,1,42,44,42,42,39,44,41,41.75,3.071428571,8,1
127000,25.35824571,79.38847797,355,1,42,38,39,43,39,39,39,40.125,3.553571429,8,1
174700,32.07850567,48.22394978,98,0,50,49,52,49,50,50,50,50,1,7,0
128700,32.80501545,56.07075319,5,0,51,52,51,50,50,51,49,50.57142857,0.952380952,7,0
128100,35.61971976,43.66884393,49,0,51,50,49,51,50,50,50,50.14285714,0.476190476,7,0
19800,25.37306097,94.83618625,865,1,33,31,34,29,32,33,33,30,79,11,2
61900,30.38158881,64.95193127,370,1,44,41,41,40,42,40,43,41.5,2,8,1
6300,28.86233608,72.15115765,556,1,43,40,40,40,41,39,40,40.75,2.214285714,8,1
19100,29.63116809,72.90136614,596,1,40,40,43,42,42,45,39,41.5,3.714285714,8,1
81400,24.9395435,89.33970477,745,1,34,33,33,30,35,33,32,31,71,11,2
56600,25.38679121,87.70803736,705,1,34,33,32,33,35,31,34,31,81,11,2
46300,22.40596314,93.05756678,1010,1,33,33,32,33,32,30,38,31,44,11,2
195100,31.76489562,56.69894411,16,0,51,50,51,49,52,52,51,50.85714286,1.142857143,7,0
175200,23.9904357,93.63983178,945,1,32,33,35,31,34,31,35,31,73,11,2
91700,26.09470899,76.44739402,489,1,39,39,45,45,38,36,43,40.125,13.83928571,8,1
33900,23.43325017,97.00987381,710,1,33,31,34,29,33,33,34,30,79,11,2
60700,32.91415889,45.52339116,18,0,50,50,50,52,49,50,50,50.14285714,0.80952381,7,0
103600,24.5265509,84.13775114,839,1,32,33,31,33,32,33,34,29,77,11,2
300,27.1461874,90.40853639,741,1,34,33,34,32,32,34,34,31,74,11,2
140400,26.89981418,71.37197272,528,1,41,39,38,41,39,39,40,40,2.571428571,8,1
112100,25.0411894,97.75604596,786,1,33,33,33,31,31,32,33,30,64,11,2
194100,27.92836072,67.38172099,408,1,43,44,41,44,45,40,40,42,5.142857143,8,1
97000,26.38370128,80.8887155,764,1,32,33,32,37,36,31,35,31,67,11,2
154800,24.32198269,81.33603553,994,1,35,35,33,35,35,34,30,31,84,11,2
73900,26.45816357,90.31949874,746,1,33,34,34,34,34,32,33,31,91,11,2
20300,37.18843351,40.8404935,96,0,51,51,50,49,50,51,49,50.14285714,0.80952381,7,0
33900,30.78267329,48.3789558,22,0,50,49,51,49,50,50,50,49.85714286,0.476190476,7,0
83700,32.89915119,40.89822598,41,0,50,50,51,50,48,47,50,49.42857143,1.952380952,7,0
105000,25.09975198,95.23506181,748,1,33,31,33,35,29,30,38,30,42,11,2
38700,31.41951635,52.02148334,5,0,49,49,51,51,49,51,51,50.14285714,1.142857143,7,0
181900,24.08363134,84.06236696,1011,1,32,32,32,32,31,35,35,30,79,11,2
26100,27.02187517,95.77863743,925,1,33,36,34,33,33,34,34,31,79,11,2
57600,30.95394308,69.45567352,311,1,39,42,45,40,42,42,41,41.75,3.357142857,8,1
178300,31.3883459,74.72664478,441,1,42,38,41,42,40,40,45,41.375,4.553571429,8,1
102300,26.15598096,60.01055687,498,1,40,40,43,41,42,38,44,41,3.714285714,8,1
142600,28.73375323,79.88688371,354,1,43,42,42,39,42,41,40,41.5,2,8,1
138300,31.79644505,63.00587951,511,1,38,40,41,42,42,44,42,41,3.714285714,8,1
52400,25.09009744,82.36721066,890,1,33,33,33,33,32,33,32,30,79,11,2
23300,28.94966382,77.27804898,549,1,43,42,43,42,41,39,39,41.125,2.696428571,8,1
165000,30.28928304,55.38897788,74,0,50,50,52,51,51,49,48,50.14285714,1.80952381,7,0
124700,30.54387983,68.43240122,466,1,42,43,39,39,42,41,42,40.25,8.5,8,1
34400,24.4507265,95.89965543,892,1,36,33,33,34,35,34,34,31,87,11,2
67700,33.18284479,41.16183904,96,0,51,50,50,52,51,51,50,50.71428571,0.571428571,7,0
186100,28.42968376,67.22619852,353,1,39,40,43,42,41,42,42,41,2.285714286,8,1
153900,34.20130707,41.25129684,47,0,50,50,50,48,50,50,50,49.71428571,0.571428571,7,0
191600,37.08956624,54.56741709,98,0,50,49,51,49,52,52,49,50.28571429,1.904761905,7,0
6100,32.17079225,50.25005298,21,0,50,50,49,50,52,49,48,49.71428571,1.571428571,7,0
165900,28.31504964,79.39137073,546,1,38,41,41,42,41,42,38,41,5.142857143,8,1
194200,22.4613271,95.9337624,758,1,33,33,33,34,31,31,34,29,80,11,2
45500,27.64467575,98.3351502,917,1,34,32,32,34,31,31,38,30,42,11,2
148000,36.54267373,43.07382086,81,0,50,50,50,48,52,51,48,49.85714286,2.142857143,7,0
79000,31.22681122,54.23445611,11,0,50,50,53,48,50,48,51,50,3,7,0
167000,33.04498635,44.74957114,85,0,49,51,51,51,50,51,52,50.71428571,0.904761905,7,0
120800,31.41234538,76.45836781,457,1,42,38,43,43,41,42,39,40.875,3.839285714,8,1
47100,23.54546483,87.70181852,768,1,33,32,35,33,35,35,33,31,70,11,2
111600,29.38814142,67.93125801,340,1,40,36,40,42,44,41,42,41,6,8,1
39800,25.34056605,91.10164818,1001,1,34,35,34,32,32,32,32,30,86,11,2
42200,24.45569312,97.21907647,877,1,33,33,34,31,31,32,33,29,81,11,2
11500,25.26720258,81.30700972,983,1,33,33,34,34,34,32,33,31,87,11,2
174900,25.82685193,72.21497194,391,1,39,44,44,40,41,44,39,41.5,4.857142857,8,1
187700,24.77992642,96.47224136,843,1,35,33,32,33,32,34,33,30,74,11,2
59600,31.77984567,68.89532235,389,1,44,43,43,41,39,39,39,41,4.285714286,8,1
149400,26.38661582,96.59973903,777,1,32,31,32,32,31,28,31,31,43,11,2
9300,28.08760881,76.04197309,460,1,39,43,44,43,42,40,37,41,5.714285714,8,1
73300,34.1845234,59.15579602,93,0,48,50,50,51,51,51,48,49.85714286,1.80952381,7,0
169000,30.27484543,66.68068858,455,1,40,40,43,44,41,42,38,41.25,3.642857143,8,1
196700,24.96287275,82.60305829,754,1,30,33,32,32,32,34,34,31,69,11,2
195600,27.47832582,79.18210184,498,1,42,38,42,39,38,41,42,40.875,5.839285714,8,1
151300,26.62863616,86.18306503,709,1,34,31,32,33,35,32,33,31,67,11,2
184000,32.97733619,50.63144305,42,0,50,50,48,50,49,52,50,49.85714286,1.476190476,7,0
85100,26.5577014,67.00035219,427,1,45,44,41,40,40,41,45,41.875,5.839285714,8,1
52700,32.18725658,59.14896038,91,0,50,52,51,49,51,49,50,50.28571429,1.238095238,7,0
130300,26.63637853,66.55109873,513,1,40,43,44,41,44,44,43,42.5,2.571428571,8,1
140700,25.11290222,80.57779937,793,1,32,36,33,35,35,34,34,31,84,11,2
50900,25.63436088,77.74662932,494,1,42,41,40,45,41,42,42,41.75,2.214285714,8,1
22800,26.06269792,72.45979644,571,1,43,42,38,40,39,42,40,40.25,3.642857143,8,1
9400,30.44910292,78.67799395,396,1,41,44,46,42,41,40,37,41.5,7.142857143,8,1
106300,26.41786328,97.39961558,766,1,33,34,34,30,30,32,34,29,57,11,2
80300,34.85372037,59.20271209,19,0,52,49,50,51,52,49,50,50.42857143,1.619047619,7,0
85700,33.77653556,40.77859927,94,0,50,51,50,48,50,49,51,49.85714286,1.142857143,7,0
147000,31.61198352,62.14746429,489,1,38,42,42,40,37,41,40,40.25,3.642857143,8,1
41800,28.40291243,77.20177741,573,1,43,41,41,39,41,42,42,41.125,1.553571429,8,1
75400,30.87940421,66.63286401,450,1,42,39,40,40,40,43,39,40.125,2.696428571,8,1
160900,27.81586096,84.78076357,1010,1,34,33,34,32,33,34,31,30,63,11,2
164300,34.9886855,49.32598826,35,0,52,48,50,49,53,50,49,50.14285714,3.142857143,7,0
21900,36.79378728,42.25160781,25,0,51,50,50,52,49,51,50,50.42857143,0.952380952,7,0
34600,25.62390953,90.31507991,834,1,32,35,32,33,34,32,35,30,65,11,2
128800,30.26562487,58.03548057,10,0,51,50,52,50,49,51,48,50.14285714,1.80952381,7,0
111500,34.64068966,57.54940093,63,0,51,50,51,50,51,51,49,50.42857143,0.619047619,7,0
58200,33.94094475,50.06167902,78,0,49,48,51,48,50,50,52,49.71428571,2.238095238,7,0
116100,25.24594736,61.93692345,482,1,42,40,43,42,45,38,45,42.25,5.642857143,8,1
4300,37.27456322,42.29537744,62,0,49,49,50,52,51,48,48,49.57142857,2.285714286,7,0
135500,26.81905252,85.98059699,964,1,30,33,35,33,34,33,33,30,88,11,2
45100,30.95367979,73.5307653,393,1,38,43,41,43,41,42,43,41,5.428571429,8,1
172300,27.79707088,80.29183632,953,1,35,33,33,32,33,35,33,31,92,11,2
152000,30.48213912,44.58731554,83,0,51,48,51,51,51,48,49,49.85714286,2.142857143,7,0
112800,29.77121725,67.60411877,429,1,43,41,40,43,41,41,43,41.375,2.267857143,8,1
13100,25.42143123,68.63786324,371,1,41,40,41,43,44,42,38,41.125,3.553571429,8,1
174400,33.32923199,40.13755924,16,0,50,50,49,51,50,51,52,50.42857143,0.952380952,7,0
80000,22.97625955,91.22131087,940,1,34,33,32,32,32,35,32,30,85,11,2
122400,33.35781854,43.31496354,40,0,51,52,51,50,49,50,51,50.57142857,0.952380952,7,0
79900,30.88533076,60.81152199,547,1,40,43,43,40,41,40,43,41.625,2.267857143,8,1
107100,31.86886201,52.20014834,74,0,51,49,51,49,50,50,50,50,0.666666667,7,0
71800,30.99437779,56.94121654,44,0,49,50,50,49,50,53,50,50.14285714,1.80952381,7,0
74000,22.82828877,80.94777719,713,1,34,33,32,33,32,32,38,30,42,11,2
196100,33.27923912,47.85790218,95,0,50,50,51,50,50,50,48,49.85714286,0.80952381,7,0
67000,31.38698876,52.89665208,36,0,49,50,49,49,49,50,51,49.57142857,0.619047619,7,0
189300,31.55078527,64.42021978,561,1,41,40,43,44,40,40,38,41,3.714285714,8,1
110200,29.57956373,77.3555807,458,1,39,41,41,43,44,43,40,41.75,3.071428571,8,1
4500,26.85078289,72.76104218,412,1,40,39,40,43,39,42,42,40.875,2.410714286,8,1
71600,24.74393536,80.85841841,993,1,34,31,33,30,31,30,33,29,65,11,2
63000,23.88481628,97.19532568,1022,1,31,34,31,34,34,34,31,30,82,11,2
89700,37.17068655,45.64944853,30,0,50,50,52,53,50,48,50,50.42857143,2.619047619,7,0
125800,30.5136715,47.83718746,42,0,50,51,50,52,47,49,50,49.85714286,2.476190476,7,0
85500,30.66539522,69.19616266,428,1,38,43,41,43,41,43,44,41.5,4.571428571,8,1
9500,33.95036477,55.85708838,47,0,51,49,49,50,49,52,48,49.71428571,1.904761905,7,0
102100,25.56858661,62.56078701,538,1,43,42,40,38,42,40,42,41.125,2.696428571,8,1
127600,29.31903189,64.59016683,553,1,41,40,40,39,45,42,42,41.125,3.553571429,8,1
84200,31.42428773,58.36852864,35,0,49,50,48,49,49,51,50,49.42857143,0.952380952,7,0
69000,22.64417732,80.0479124,935,1,34,32,35,35,32,28,31,32,47,11,2
70500,26.61216704,64.76885123,477,1,41,42,40,43,39,43,41,41.5,2.285714286,8,1
111800,26.4268076,96.73098133,984,1,32,35,32,33,31,32,34,30,82,11,2
61800,29.7877955,75.72101519,528,1,40,41,41,43,42,38,43,41.125,2.696428571,8,1
141800,30.56172349,67.27622798,507,1,38,37,38,41,42,42,44,40.25,5.928571429,8,1
184800,22.85671923,80.42947439,740,1,34,35,30,32,33,32,36,31,78,11,2
59600,22.37954019,98.71106835,977,1,31,34,34,34,35,32,35,32,80,11,2
32200,35.28157901,52.15810428,67,0,49,51,49,51,49,49,49,49.57142857,0.952380952,7,0
145500,26.16879192,98.29745315,848,1,33,34,32,33,33,33,38,31,43,11,2
13200,26.04737136,78.35096769,341,1,42,42,40,42,44,42,38,41.25,3.357142857,8,1
172700,29.63994442,62.12842448,421,1,41,38,41,42,42,36,41,39.875,4.982142857,8,1
33400,30.36802114,42.28975276,38,0,50,49,49,50,53,51,48,50,2.666666667,7,0
64400,31.06967544,72.90689881,463,1,42,41,40,43,45,41,40,41.375,3.696428571,8,1
33200,30.11514791,52.07590906,44,0,49,50,50,50,51,50,49,49.85714286,0.476190476,7,0
83300,31.41109589,45.77769878,16,0,51,50,51,52,49,52,49,50.57142857,1.619047619,7,0
53400,26.15809874,61.67090929,536,1,44,45,43,41,38,40,43,41.75,5.642857143,8,1
16700,26.78520162,73.2197739,305,1,43,42,41,42,40,44,45,42.75,3.357142857,8,1
25100,31.23725247,68.42250946,553,1,40,40,40,42,42,40,43,41,1.428571429,8,1
