Time(ms),Temp(C),Humidity(%),SNR1,SNR2,SNR3,SNR4,SNR5,SNR6,SNR7,SNR8,SNR9,RainLabel
494078.0,33.1,54.7,36.0,37.0,35.0,38.0,36.0,36.0,39.0,35.0,26.0,0
496078.0,33.0,54.8,37.0,35.0,35.0,37.0,36.0,37.0,35.0,36.0,26.0,0
498078.0,33.0,54.8,37.0,37.0,36.0,37.0,37.0,36.0,40.0,38.0,26.0,0
500078.0,33.0,54.9,39.0,37.0,38.0,40.0,37.0,37.0,38.0,39.0,26.0,0
502078.0,33.0,55.0,39.0,36.0,37.0,39.0,37.0,36.0,36.0,38.0,26.0,0
504078.0,33.0,55.2,38.0,36.0,36.0,40.0,38.0,36.0,37.0,37.0,26.0,0
506078.0,32.9,55.4,37.0,37.0,37.0,37.0,39.0,35.0,38.0,40.0,26.0,0
508078.0,32.8,55.5,39.0,37.0,37.0,39.0,37.0,38.0,37.0,35.0,26.0,0
510078.0,32.8,55.6,41.0,38.0,36.0,37.0,40.0,39.0,36.0,38.0,26.0,0
512078.0,32.8,55.7,39.0,38.0,38.0,35.0,40.0,37.0,37.0,35.0,26.0,0
514078.0,32.7,56.0,37.0,37.0,39.0,37.0,39.0,37.0,37.0,37.0,26.0,0
516078.0,32.7,56.1,37.0,38.0,37.0,37.0,37.0,37.0,38.0,36.0,26.0,0
518079.0,32.6,56.1,37.0,37.0,36.0,38.0,37.0,38.0,37.0,36.0,26.0,0
520078.0,32.7,56.1,39.0,37.0,37.0,36.0,38.0,35.0,37.0,37.0,26.0,0
522078.0,32.5,56.1,40.0,37.0,36.0,37.0,41.0,37.0,37.0,38.0,26.0,0
524079.0,32.6,56.1,39.0,37.0,37.0,36.0,38.0,36.0,38.0,41.0,26.0,0
526078.0,32.5,56.2,36.0,37.0,38.0,40.0,35.0,36.0,38.0,38.0,26.0,0
528077.0,32.5,56.3,36.0,36.0,39.0,39.0,36.0,39.0,37.0,38.0,26.0,0
530076.0,32.5,56.4,37.0,36.0,38.0,37.0,35.0,38.0,37.0,29.0,26.0,0
532078.0,32.5,56.4,35.0,36.0,37.0,39.0,37.0,36.0,36.0,37.0,26.0,0
534078.0,32.4,56.6,35.0,36.0,35.0,36.0,35.0,35.0,35.0,37.0,26.0,0
536078.0,32.3,56.7,35.0,36.0,37.0,37.0,38.0,37.0,36.0,39.0,26.0,0
538078.0,32.4,56.8,37.0,36.0,38.0,37.0,38.0,35.0,39.0,37.0,26.0,0
540078.0,32.3,56.8,38.0,35.0,37.0,37.0,37.0,37.0,35.0,40.0,26.0,0
542077.0,32.2,56.9,37.0,35.0,38.0,37.0,38.0,37.0,40.0,36.0,26.0,0
544077.0,32.3,56.9,38.0,34.0,40.0,38.0,37.0,36.0,38.0,36.0,26.0,0
546077.0,32.4,56.9,37.0,37.0,40.0,36.0,39.0,37.0,38.0,36.0,26.0,0
548078.0,32.2,57.0,36.0,36.0,36.0,39.0,36.0,36.0,38.0,36.0,26.0,0
550078.0,32.2,57.0,37.0,39.0,38.0,38.0,38.0,39.0,38.0,38.0,26.0,0
552078.0,32.3,56.9,38.0,37.0,40.0,38.0,37.0,38.0,37.0,40.0,26.0,0
554078.0,32.1,57.0,38.0,37.0,37.0,38.0,37.0,37.0,36.0,38.0,26.0,0
556078.0,32.2,57.0,35.0,35.0,36.0,35.0,35.0,38.0,37.0,37.0,26.0,0
558076.0,32.2,57.1,38.0,38.0,36.0,39.0,37.0,38.0,36.0,29.0,26.0,0
560077.0,32.2,57.1,36.0,38.0,37.0,39.0,38.0,37.0,38.0,38.0,26.0,0
562078.0,32.1,57.3,37.0,37.0,38.0,38.0,37.0,37.0,37.0,39.0,26.0,0
564079.0,32.1,57.3,39.0,34.0,37.0,37.0,37.0,38.0,36.0,41.0,26.0,0
566079.0,32.1,57.3,37.0,34.0,37.0,39.0,38.0,35.0,37.0,40.0,26.0,0
568079.0,32.2,57.3,39.0,35.0,39.0,39.0,37.0,34.0,37.0,39.0,26.0,0
570079.0,32.2,57.3,39.0,35.0,38.0,36.0,36.0,37.0,37.0,38.0,26.0,0
572079.0,32.2,57.3,37.0,39.0,37.0,36.0,37.0,37.0,38.0,37.0,26.0,0
574078.0,32.2,57.4,37.0,37.0,40.0,37.0,38.0,37.0,38.0,38.0,26.0,0
576078.0,32.4,57.2,36.0,37.0,38.0,38.0,36.0,37.0,39.0,38.0,26.0,0
578078.0,32.3,57.2,36.0,39.0,40.0,38.0,35.0,37.0,40.0,38.0,26.0,0
580079.0,32.4,57.2,36.0,35.0,36.0,39.0,35.0,37.0,39.0,38.0,26.0,0
582079.0,32.2,57.3,38.0,36.0,38.0,39.0,36.0,38.0,38.0,39.0,26.0,0
584079.0,32.4,57.2,40.0,38.0,36.0,39.0,37.0,35.0,39.0,39.0,26.0,0
586079.0,32.3,57.2,38.0,38.0,36.0,39.0,37.0,37.0,37.0,36.0,26.0,0
588078.0,32.3,57.2,34.0,35.0,38.0,36.0,38.0,36.0,38.0,29.0,26.0,0
590078.0,32.4,57.2,36.0,37.0,35.0,38.0,36.0,38.0,37.0,38.0,26.0,0
592078.0,32.4,57.2,35.0,38.0,37.0,36.0,37.0,39.0,36.0,38.0,26.0,0
594077.0,32.4,57.3,35.0,37.0,35.0,39.0,36.0,37.0,35.0,38.0,26.0,0
596079.0,32.2,57.4,37.0,38.0,36.0,39.0,36.0,38.0,36.0,39.0,26.0,0
598078.0,32.3,57.4,37.0,36.0,36.0,37.0,37.0,37.0,36.0,39.0,26.0,0
600078.0,32.2,57.5,36.0,39.0,36.0,38.0,36.0,37.0,35.0,37.0,26.0,0
602077.0,32.2,57.6,35.0,39.0,35.0,36.0,38.0,35.0,37.0,29.0,26.0,0
604078.0,32.2,57.7,36.0,37.0,36.0,38.0,36.0,38.0,35.0,40.0,26.0,0
606077.0,32.1,57.7,37.0,35.0,38.0,39.0,37.0,40.0,37.0,41.0,26.0,0
608077.0,32.2,57.8,35.0,38.0,37.0,40.0,35.0,35.0,36.0,37.0,26.0,0
610077.0,32.2,58.0,37.0,37.0,36.0,37.0,36.0,38.0,36.0,37.0,26.0,0
612078.0,32.1,58.0,36.0,38.0,36.0,37.0,37.0,38.0,36.0,40.0,26.0,0
614078.0,32.1,58.0,35.0,37.0,36.0,40.0,36.0,38.0,36.0,39.0,26.0,0
616078.0,32.1,58.1,37.0,36.0,37.0,38.0,36.0,37.0,36.0,39.0,26.0,0
618078.0,32.1,58.1,37.0,37.0,37.0,37.0,39.0,37.0,37.0,36.0,26.0,0
620078.0,32.2,58.1,37.0,37.0,37.0,38.0,37.0,36.0,37.0,37.0,26.0,0
622077.0,32.1,58.1,38.0,36.0,37.0,37.0,40.0,36.0,38.0,38.0,26.0,0
624077.0,32.1,58.2,36.0,36.0,35.0,37.0,37.0,37.0,38.0,38.0,26.0,0
626078.0,32.1,58.3,36.0,36.0,37.0,36.0,37.0,38.0,37.0,37.0,26.0,0
628079.0,32.0,58.5,38.0,36.0,36.0,38.0,40.0,36.0,36.0,34.0,26.0,0
630078.0,32.1,58.7,38.0,36.0,36.0,37.0,38.0,35.0,36.0,36.0,26.0,0
632109.0,32.2,58.9,37.0,38.0,38.0,40.0,39.0,35.0,37.0,38.0,26.0,0
634141.0,32.0,59.0,38.0,38.0,38.0,38.0,39.0,37.0,26.0,29.0,26.0,0
636141.0,32.1,59.1,37.0,38.0,36.0,38.0,38.0,26.0,26.0,29.0,26.0,0
638140.0,32.0,59.1,37.0,37.0,36.0,39.0,36.0,26.0,26.0,29.0,26.0,0
640140.0,32.2,59.1,40.0,38.0,35.0,36.0,35.0,26.0,26.0,29.0,26.0,0
642140.0,32.1,59.2,36.0,37.0,34.0,38.0,35.0,26.0,26.0,29.0,26.0,0
644141.0,32.0,59.4,38.0,40.0,39.0,36.0,37.0,26.0,26.0,29.0,26.0,0
646147.0,31.9,59.5,37.0,38.0,36.0,36.0,39.0,26.0,26.0,29.0,26.0,0
648144.0,32.1,59.3,37.0,38.0,36.0,36.0,26.0,26.0,26.0,29.0,26.0,0
650147.0,31.9,59.4,36.0,38.0,36.0,36.0,26.0,26.0,26.0,29.0,26.0,0
652144.0,32.0,59.3,39.0,36.0,37.0,27.0,26.0,26.0,26.0,29.0,26.0,0
654145.0,32.0,59.4,39.0,38.0,38.0,38.0,26.0,26.0,26.0,29.0,26.0,0
656145.0,31.9,59.5,37.0,37.0,36.0,27.0,26.0,26.0,26.0,29.0,26.0,0
658146.0,31.9,59.5,35.0,36.0,37.0,40.0,26.0,26.0,26.0,29.0,26.0,0
660147.0,31.9,59.5,37.0,37.0,36.0,37.0,26.0,26.0,26.0,29.0,26.0,0
662147.0,32.0,59.4,36.0,34.0,34.0,35.0,26.0,26.0,26.0,29.0,26.0,0
664145.0,31.9,59.5,37.0,36.0,40.0,27.0,26.0,26.0,26.0,29.0,26.0,0
666148.0,31.9,59.3,36.0,35.0,38.0,38.0,26.0,26.0,26.0,29.0,26.0,0
668144.0,32.0,59.2,35.0,37.0,38.0,36.0,26.0,26.0,26.0,29.0,26.0,0
670149.0,31.7,59.4,36.0,35.0,35.0,36.0,26.0,26.0,26.0,29.0,26.0,0
672147.0,31.8,59.3,36.0,38.0,36.0,35.0,26.0,26.0,26.0,29.0,26.0,0
674147.0,31.7,59.4,37.0,35.0,38.0,36.0,26.0,26.0,26.0,29.0,26.0,0
676148.0,31.7,59.4,37.0,37.0,38.0,37.0,26.0,26.0,26.0,29.0,26.0,0
678148.0,31.9,59.3,38.0,34.0,38.0,37.0,26.0,26.0,26.0,29.0,26.0,0
680148.0,31.7,59.4,36.0,37.0,36.0,41.0,38.0,26.0,26.0,29.0,26.0,0
682148.0,31.7,59.4,38.0,38.0,35.0,39.0,37.0,26.0,26.0,29.0,26.0,0
684147.0,31.8,59.3,40.0,37.0,39.0,39.0,26.0,26.0,26.0,29.0,26.0,0
686146.0,31.6,59.4,36.0,38.0,37.0,37.0,38.0,26.0,26.0,29.0,26.0,0
688147.0,31.6,59.6,8.0,39.0,37.0,38.0,37.0,26.0,26.0,29.0,26.0,0
690146.0,31.6,59.6,8.0,39.0,37.0,37.0,38.0,26.0,26.0,29.0,26.0,0
692147.0,31.8,59.6,4.0,39.0,37.0,35.0,37.0,26.0,26.0,29.0,26.0,0
694150.0,31.7,59.8,38.0,38.0,37.0,38.0,37.0,37.0,26.0,29.0,26.0,0
696151.0,31.7,59.9,37.0,36.0,39.0,41.0,39.0,38.0,26.0,29.0,26.0,0
698148.0,31.5,59.9,39.0,37.0,38.0,39.0,37.0,26.0,26.0,29.0,26.0,0
700148.0,31.5,60.0,36.0,16.0,38.0,36.0,40.0,38.0,26.0,29.0,26.0,0
702146.0,31.5,60.0,37.0,37.0,38.0,40.0,37.0,26.0,26.0,29.0,26.0,0
704148.0,31.5,60.1,35.0,35.0,38.0,36.0,38.0,35.0,26.0,29.0,26.0,0
706147.0,31.5,60.2,37.0,36.0,38.0,38.0,37.0,26.0,26.0,29.0,26.0,0
708149.0,31.5,60.2,37.0,36.0,35.0,36.0,37.0,36.0,36.0,29.0,26.0,0
710145.0,31.5,60.2,36.0,37.0,37.0,38.0,37.0,36.0,35.0,29.0,26.0,0
712146.0,31.4,60.3,38.0,18.0,37.0,39.0,38.0,37.0,37.0,38.0,26.0,0
714131.0,31.3,60.3,37.0,37.0,38.0,36.0,38.0,38.0,26.0,29.0,26.0,0
716132.0,31.5,60.2,38.0,19.0,37.0,37.0,38.0,39.0,38.0,29.0,26.0,0
718100.0,31.4,60.2,38.0,38.0,37.0,39.0,37.0,37.0,37.0,29.0,26.0,0
720109.0,31.6,60.1,39.0,37.0,37.0,37.0,37.0,38.0,26.0,29.0,26.0,0
722111.0,31.5,60.0,37.0,39.0,36.0,40.0,37.0,39.0,38.0,38.0,26.0,0
724104.0,31.6,60.0,37.0,35.0,39.0,39.0,39.0,38.0,38.0,38.0,26.0,0
726097.0,31.7,59.9,36.0,26.0,36.0,39.0,37.0,37.0,37.0,39.0,26.0,0
728083.0,32.1,59.7,36.0,37.0,39.0,38.0,38.0,38.0,38.0,29.0,26.0,0
730084.0,32.0,59.6,37.0,38.0,38.0,35.0,39.0,36.0,38.0,29.0,26.0,0
732086.0,32.1,59.4,37.0,38.0,38.0,33.0,37.0,36.0,38.0,39.0,26.0,0
734085.0,32.2,59.1,37.0,38.0,38.0,38.0,35.0,40.0,38.0,29.0,26.0,0
736081.0,32.2,59.0,36.0,37.0,39.0,38.0,37.0,38.0,39.0,37.0,26.0,0
738082.0,32.4,58.8,37.0,40.0,38.0,35.0,37.0,37.0,36.0,37.0,26.0,0
740083.0,32.5,58.5,38.0,38.0,36.0,36.0,37.0,37.0,37.0,36.0,26.0,0
742084.0,32.6,58.3,37.0,37.0,38.0,36.0,36.0,36.0,38.0,37.0,26.0,0
744084.0,32.6,58.1,38.0,36.0,37.0,37.0,38.0,36.0,39.0,37.0,26.0,0
746081.0,32.8,57.9,38.0,35.0,39.0,37.0,37.0,34.0,39.0,36.0,26.0,0
748083.0,32.7,57.8,37.0,38.0,37.0,36.0,39.0,37.0,39.0,36.0,36.0,0
750081.0,32.9,57.5,37.0,39.0,36.0,39.0,36.0,40.0,37.0,39.0,26.0,0
752080.0,33.0,57.3,36.0,40.0,37.0,39.0,38.0,40.0,36.0,39.0,26.0,0
754079.0,33.0,57.2,36.0,37.0,36.0,37.0,36.0,37.0,36.0,38.0,26.0,0
756079.0,33.2,57.2,38.0,35.0,38.0,36.0,36.0,36.0,38.0,29.0,26.0,0
758081.0,33.3,57.0,37.0,36.0,35.0,37.0,36.0,36.0,37.0,41.0,26.0,0
760081.0,33.3,57.0,36.0,35.0,35.0,37.0,35.0,36.0,37.0,37.0,26.0,0
762080.0,33.5,56.8,36.0,39.0,38.0,37.0,36.0,37.0,40.0,36.0,26.0,0
764081.0,33.7,56.5,34.0,35.0,38.0,37.0,34.0,35.0,38.0,36.0,26.0,0
766080.0,33.8,56.0,34.0,36.0,36.0,35.0,36.0,38.0,39.0,35.0,26.0,0
768080.0,33.9,55.6,36.0,35.0,37.0,36.0,37.0,35.0,37.0,37.0,26.0,0
770080.0,34.1,55.1,37.0,38.0,36.0,38.0,36.0,36.0,37.0,39.0,26.0,0
772081.0,34.3,54.8,36.0,36.0,37.0,37.0,37.0,36.0,39.0,39.0,26.0,0
774080.0,34.4,54.4,37.0,38.0,37.0,39.0,38.0,37.0,39.0,40.0,26.0,0
776081.0,34.6,53.9,37.0,35.0,36.0,38.0,34.0,37.0,36.0,36.0,26.0,0
778081.0,34.7,53.4,34.0,39.0,36.0,36.0,37.0,39.0,37.0,37.0,26.0,0
780081.0,34.8,52.9,37.0,37.0,38.0,38.0,39.0,37.0,39.0,39.0,26.0,0
782080.0,35.0,52.4,37.0,36.0,38.0,35.0,38.0,38.0,38.0,35.0,26.0,0
784079.0,35.1,52.1,37.0,41.0,35.0,36.0,35.0,39.0,39.0,36.0,26.0,0
786080.0,35.3,51.7,35.0,37.0,37.0,38.0,34.0,36.0,38.0,37.0,26.0,0
788081.0,35.3,51.3,37.0,36.0,35.0,37.0,37.0,35.0,35.0,37.0,26.0,0
790081.0,35.6,50.8,38.0,37.0,36.0,35.0,37.0,38.0,38.0,38.0,26.0,0
792081.0,35.6,50.6,39.0,38.0,38.0,36.0,36.0,37.0,36.0,35.0,26.0,0
794080.0,35.8,50.3,36.0,37.0,36.0,36.0,38.0,38.0,39.0,38.0,26.0,0
796081.0,35.9,50.3,38.0,38.0,36.0,37.0,39.0,38.0,37.0,37.0,26.0,0
798080.0,36.0,50.1,39.0,36.0,37.0,39.0,40.0,36.0,39.0,36.0,26.0,0
800079.0,36.2,50.0,38.0,36.0,37.0,35.0,36.0,38.0,37.0,35.0,26.0,0
802080.0,36.3,49.5,35.0,35.0,38.0,37.0,35.0,36.0,39.0,36.0,26.0,0
804080.0,36.3,49.1,35.0,36.0,38.0,36.0,35.0,38.0,37.0,34.0,26.0,0
806081.0,36.3,48.8,35.0,39.0,35.0,36.0,36.0,38.0,36.0,39.0,26.0,0
808080.0,36.3,48.4,35.0,38.0,36.0,38.0,37.0,38.0,37.0,38.0,26.0,0
810080.0,36.3,48.2,36.0,37.0,39.0,40.0,36.0,36.0,36.0,38.0,26.0,0
812080.0,36.3,48.0,37.0,36.0,36.0,37.0,36.0,36.0,36.0,37.0,26.0,0
814080.0,36.2,48.0,36.0,38.0,36.0,39.0,36.0,36.0,37.0,38.0,26.0,0
816079.0,36.3,48.0,38.0,36.0,37.0,37.0,37.0,35.0,37.0,37.0,26.0,0
818079.0,36.3,48.1,37.0,36.0,35.0,37.0,37.0,36.0,38.0,39.0,26.0,0
820080.0,36.1,48.3,38.0,37.0,38.0,39.0,38.0,37.0,34.0,39.0,26.0,0
822080.0,36.2,48.4,36.0,39.0,36.0,38.0,36.0,38.0,37.0,37.0,26.0,0
824080.0,36.1,48.5,36.0,36.0,35.0,37.0,36.0,35.0,37.0,37.0,26.0,0
826080.0,36.2,48.5,35.0,36.0,37.0,35.0,37.0,37.0,36.0,36.0,26.0,0
828080.0,36.1,48.6,35.0,36.0,38.0,36.0,39.0,37.0,37.0,35.0,26.0,0
830080.0,36.0,48.6,39.0,38.0,36.0,35.0,40.0,37.0,36.0,36.0,26.0,0
832080.0,35.9,48.7,38.0,39.0,39.0,37.0,36.0,35.0,38.0,37.0,26.0,0
834079.0,35.9,48.8,38.0,36.0,39.0,39.0,36.0,35.0,35.0,37.0,26.0,0
836080.0,35.8,48.8,37.0,36.0,37.0,38.0,38.0,37.0,36.0,37.0,26.0,0
838081.0,35.7,49.0,38.0,36.0,36.0,39.0,38.0,36.0,36.0,37.0,26.0,0
840081.0,35.8,49.1,35.0,35.0,37.0,38.0,37.0,38.0,36.0,37.0,26.0,0
842081.0,35.6,49.3,35.0,37.0,37.0,37.0,37.0,35.0,37.0,37.0,26.0,0
844081.0,35.6,49.4,38.0,35.0,37.0,37.0,36.0,36.0,37.0,37.0,26.0,0
846081.0,35.5,49.5,36.0,36.0,39.0,37.0,38.0,36.0,37.0,36.0,26.0,0
848080.0,35.3,49.7,37.0,35.0,37.0,37.0,37.0,34.0,37.0,37.0,26.0,0
850079.0,35.3,49.9,37.0,37.0,37.0,37.0,39.0,35.0,37.0,38.0,26.0,0
852080.0,35.3,50.0,38.0,35.0,38.0,37.0,39.0,35.0,37.0,37.0,26.0,0
854081.0,35.3,50.2,38.0,37.0,37.0,36.0,37.0,35.0,39.0,37.0,26.0,0
856081.0,35.2,50.4,38.0,37.0,36.0,37.0,38.0,38.0,37.0,37.0,26.0,0
858081.0,35.2,50.4,37.0,38.0,36.0,37.0,37.0,40.0,38.0,39.0,26.0,0
860081.0,35.1,50.5,37.0,38.0,36.0,37.0,36.0,38.0,36.0,40.0,26.0,0
862081.0,35.1,50.5,38.0,38.0,36.0,38.0,37.0,38.0,36.0,37.0,26.0,0
864079.0,35.0,50.5,37.0,38.0,36.0,36.0,38.0,37.0,35.0,35.0,26.0,0
866080.0,35.0,50.6,35.0,38.0,36.0,35.0,36.0,37.0,36.0,36.0,26.0,0
868081.0,35.0,50.6,40.0,35.0,35.0,40.0,38.0,36.0,36.0,38.0,26.0,0
870080.0,35.0,50.8,36.0,36.0,36.0,38.0,37.0,38.0,36.0,36.0,26.0,0
872080.0,34.8,50.9,38.0,34.0,37.0,36.0,39.0,37.0,37.0,35.0,26.0,0
874080.0,34.8,51.0,38.0,40.0,38.0,35.0,36.0,38.0,37.0,34.0,26.0,0
876081.0,34.8,51.2,38.0,36.0,37.0,34.0,35.0,38.0,37.0,35.0,26.0,0
878081.0,34.7,51.5,35.0,35.0,37.0,34.0,35.0,35.0,38.0,34.0,26.0,0
880079.0,34.8,51.5,37.0,34.0,37.0,34.0,38.0,37.0,37.0,35.0,26.0,0
882080.0,34.5,51.7,36.0,36.0,35.0,39.0,37.0,37.0,37.0,35.0,26.0,0
884081.0,34.5,51.7,36.0,36.0,35.0,36.0,38.0,38.0,39.0,39.0,26.0,0
886080.0,34.3,51.8,35.0,36.0,37.0,36.0,36.0,36.0,36.0,35.0,26.0,0
888080.0,34.4,51.8,37.0,38.0,36.0,36.0,36.0,35.0,38.0,35.0,26.0,0
890080.0,34.4,51.8,37.0,36.0,36.0,36.0,35.0,37.0,35.0,38.0,26.0,0
892080.0,34.3,51.8,36.0,35.0,36.0,36.0,37.0,36.0,35.0,38.0,26.0,0
894080.0,34.2,51.9,36.0,35.0,36.0,35.0,37.0,37.0,37.0,37.0,26.0,0
896079.0,34.1,52.0,38.0,38.0,38.0,37.0,37.0,38.0,37.0,36.0,26.0,0
898080.0,34.3,51.9,37.0,37.0,37.0,38.0,37.0,37.0,37.0,38.0,26.0,0
900080.0,34.0,52.2,37.0,37.0,36.0,38.0,39.0,37.0,36.0,36.0,26.0,0
902080.0,34.0,52.2,39.0,37.0,38.0,37.0,37.0,37.0,38.0,38.0,26.0,0
904080.0,34.0,52.2,38.0,37.0,38.0,36.0,37.0,37.0,38.0,35.0,26.0,0
906080.0,34.0,52.3,37.0,35.0,36.0,35.0,37.0,35.0,37.0,35.0,26.0,0
908080.0,33.9,52.6,37.0,36.0,39.0,38.0,37.0,38.0,37.0,39.0,26.0,0
910080.0,33.9,52.6,36.0,37.0,38.0,37.0,36.0,37.0,37.0,38.0,26.0,0
912080.0,33.7,52.7,35.0,37.0,37.0,36.0,35.0,37.0,36.0,35.0,26.0,0
914079.0,33.8,52.6,38.0,38.0,38.0,36.0,36.0,38.0,37.0,37.0,26.0,0
916080.0,33.7,52.7,36.0,38.0,40.0,37.0,37.0,36.0,37.0,29.0,26.0,0
918081.0,33.7,52.7,38.0,38.0,37.0,37.0,37.0,38.0,37.0,37.0,26.0,0
920111.0,33.6,52.7,37.0,36.0,36.0,38.0,35.0,35.0,36.0,29.0,26.0,0
922143.0,33.5,52.7,37.0,37.0,38.0,39.0,37.0,37.0,26.0,29.0,26.0,0
924142.0,33.5,52.7,37.0,37.0,38.0,38.0,38.0,26.0,26.0,29.0,26.0,0
926142.0,33.5,52.8,39.0,36.0,36.0,36.0,36.0,26.0,26.0,29.0,26.0,0
928143.0,33.4,53.0,38.0,36.0,38.0,37.0,38.0,26.0,26.0,29.0,26.0,0
930143.0,33.4,53.0,37.0,39.0,35.0,38.0,37.0,26.0,26.0,29.0,26.0,0
932143.0,33.3,53.1,35.0,37.0,38.0,38.0,36.0,26.0,26.0,29.0,26.0,0
934148.0,33.3,53.2,35.0,35.0,34.0,38.0,37.0,26.0,26.0,29.0,26.0,0
936145.0,33.1,53.5,36.0,37.0,38.0,36.0,26.0,26.0,26.0,29.0,26.0,0
938146.0,33.1,53.6,39.0,37.0,38.0,37.0,26.0,26.0,26.0,29.0,26.0,0
940145.0,33.1,53.7,36.0,36.0,38.0,34.0,26.0,26.0,26.0,29.0,26.0,0
942146.0,33.1,53.9,36.0,36.0,37.0,35.0,26.0,26.0,26.0,29.0,26.0,0
944145.0,33.0,54.0,36.0,34.0,36.0,36.0,26.0,26.0,26.0,29.0,26.0,0
946147.0,32.9,54.3,37.0,36.0,36.0,38.0,26.0,26.0,26.0,29.0,26.0,0
948147.0,33.0,54.2,37.0,36.0,35.0,37.0,26.0,26.0,26.0,29.0,26.0,0
950147.0,32.9,54.5,37.0,35.0,36.0,37.0,26.0,26.0,26.0,29.0,26.0,0
952145.0,33.0,54.4,37.0,36.0,38.0,39.0,26.0,26.0,26.0,29.0,26.0,0
954147.0,32.9,54.7,37.0,37.0,38.0,37.0,26.0,26.0,26.0,29.0,26.0,0
956145.0,33.1,54.8,37.0,36.0,36.0,40.0,26.0,26.0,26.0,29.0,26.0,0
958144.0,32.9,55.1,38.0,36.0,38.0,27.0,26.0,26.0,26.0,29.0,26.0,0
960145.0,33.0,55.2,39.0,36.0,37.0,38.0,26.0,26.0,26.0,29.0,26.0,0
962073.0,45.6,26.6,36.0,37.0,35.0,37.0,26.0,26.0,26.0,29.0,26.0,0
964083.0,32.9,55.7,37.0,37.0,39.0,37.0,39.0,38.0,26.0,29.0,26.0,0
966083.0,33.0,55.7,36.0,39.0,38.0,37.0,40.0,39.0,26.0,29.0,26.0,0
968085.0,32.8,56.0,38.0,38.0,38.0,40.0,38.0,39.0,40.0,29.0,26.0,0
970088.0,32.9,56.0,38.0,37.0,38.0,38.0,39.0,39.0,39.0,39.0,26.0,0
972088.0,32.9,56.0,38.0,36.0,37.0,38.0,40.0,36.0,37.0,36.0,26.0,0
974084.0,32.8,55.9,39.0,36.0,42.0,35.0,36.0,35.0,46.0,38.0,26.0,0
976081.0,32.7,55.9,37.0,38.0,35.0,37.0,37.0,35.0,26.0,29.0,26.0,0
978084.0,32.8,55.8,40.0,38.0,35.0,38.0,36.0,36.0,36.0,34.0,37.0,0
980083.0,32.7,55.8,36.0,35.0,36.0,37.0,38.0,36.0,36.0,36.0,26.0,0
982084.0,32.8,55.6,37.0,34.0,37.0,37.0,41.0,37.0,36.0,40.0,26.0,0
984083.0,32.8,55.5,36.0,37.0,36.0,39.0,36.0,37.0,36.0,40.0,26.0,0
986084.0,32.6,55.6,37.0,37.0,38.0,40.0,37.0,39.0,36.0,39.0,26.0,0
988083.0,32.8,55.5,37.0,37.0,33.0,36.0,37.0,39.0,35.0,34.0,26.0,0
990084.0,32.7,55.5,37.0,37.0,36.0,34.0,37.0,37.0,36.0,36.0,26.0,0
992083.0,32.7,55.4,39.0,37.0,38.0,36.0,38.0,37.0,38.0,35.0,26.0,0
994082.0,32.6,55.4,40.0,37.0,38.0,36.0,38.0,38.0,38.0,35.0,26.0,0
996083.0,32.7,55.3,39.0,39.0,38.0,40.0,38.0,37.0,39.0,37.0,26.0,0
998083.0,32.6,55.3,39.0,37.0,38.0,38.0,38.0,39.0,38.0,39.0,26.0,0
1000085.0,32.5,55.3,38.0,36.0,38.0,39.0,38.0,37.0,38.0,40.0,26.0,0
1002084.0,32.5,55.4,37.0,37.0,38.0,38.0,36.0,38.0,38.0,39.0,26.0,0
1004084.0,32.5,55.4,38.0,38.0,39.0,38.0,40.0,36.0,40.0,37.0,26.0,0
1006084.0,32.5,55.6,35.0,37.0,38.0,41.0,35.0,36.0,38.0,29.0,26.0,0
1008084.0,32.5,55.6,39.0,38.0,37.0,39.0,39.0,36.0,36.0,35.0,26.0,0
1010084.0,32.4,55.8,39.0,36.0,39.0,36.0,39.0,36.0,40.0,36.0,26.0,0
1012084.0,32.5,55.7,39.0,37.0,35.0,36.0,40.0,36.0,38.0,37.0,26.0,0
1014084.0,32.4,55.9,40.0,39.0,36.0,36.0,40.0,37.0,37.0,39.0,26.0,0
1016084.0,32.3,56.0,40.0,38.0,38.0,39.0,41.0,39.0,38.0,37.0,26.0,0
1018084.0,32.4,56.2,41.0,41.0,37.0,37.0,42.0,39.0,35.0,37.0,26.0,0
1020085.0,32.2,56.3,42.0,38.0,38.0,40.0,42.0,39.0,36.0,36.0,26.0,0
1022084.0,32.3,56.2,36.0,38.0,38.0,40.0,37.0,39.0,38.0,37.0,26.0,0
1024083.0,32.4,56.2,35.0,39.0,36.0,40.0,35.0,39.0,37.0,37.0,26.0,0
1026085.0,32.2,56.4,38.0,37.0,37.0,35.0,39.0,36.0,38.0,29.0,26.0,0
1028086.0,32.2,56.4,37.0,35.0,38.0,38.0,37.0,39.0,37.0,39.0,26.0,0
1030087.0,32.2,56.5,38.0,39.0,37.0,41.0,38.0,36.0,37.0,40.0,26.0,0
1032087.0,32.3,56.5,40.0,40.0,38.0,40.0,38.0,40.0,37.0,41.0,26.0,0
1034086.0,32.4,56.5,38.0,35.0,40.0,38.0,37.0,36.0,40.0,38.0,26.0,0
1036087.0,32.4,56.6,34.0,35.0,39.0,38.0,35.0,35.0,36.0,37.0,26.0,0
